ID,NAME,PROF,TIME1,TIME2,CREDITS,YEAR
ME391-01,로봇공학,임성수,화 13:30-14:45 (공371호),목 13:30-14:45 (공371호),3,"3,4"
ME391-02,로봇공학,김종우,화 13:30-14:45 (공B104호),목 13:30-14:45 (공B104호),3,"3,4"
ME375-01,메카트로닉스,이순걸,월 09:00-10:15 (공165호),수 09:00-10:15 (공165호),3,3
ME301-01,수치해석,최진환,화 10:30-11:45 (공371호),목 10:30-11:45 (공371호),3,3
ME301-02,수치해석,이병찬,화 10:30-11:45 (공165호),목 10:30-11:45 (공165호),3,3
ME380-01,시스템동역학,최진환,월 16:30-17:45 (공371호),수 16:30-17:45 (공371호),3,3
ME380-02,시스템동역학,김상현,월 16:30-17:45 (공B104호),수 16:30-17:45 (공B104호),3,3
ME389-00,에너지변환공학,송재만,화 16:30-17:45 (공B104호),목 16:30-17:45 (공B104호),3,"3,4"
ME315-00,연구연수활동1(기계공학),이원구,토 10:30-11:20 (공371호),,1,"3,4"
ME231-01,열역학,홍희기,화 09:00-10:15 (공371호),목 09:00-10:15 (공371호),3,2
ME231-02,열역학,구준모,화 09:00-10:15 (공165호),목 09:00-10:15 (공165호),3,2
ME231-03,열역학,이충엽,화 12:00-13:15 (공176호),목 12:00-13:15 (공176호),3,2
ME331-01,열전달,구준모,월 10:30-11:45 (공165호),수 10:30-11:45 (공165호),3,3
ME331-02,열전달,유원종,화 09:00-10:15 (공B104호),목 09:00-10:15 (공B104호),3,3
ME331-03,열전달,송재만,화 09:00-10:15 (공142-2호),목 09:00-10:15 (공142-2호),3,3
ME435-00,유체유동시스템,김형진,월 16:30-17:45 (공165호),수 16:30-17:45 (공165호),3,4
ME335-01,응용유체역학,정신규,화 15:00-16:15 (공142-2호),목 15:00-16:15 (공142-2호),3,3
ME335-02,응용유체역학,이충엽,화 15:00-16:15 (공371호),목 15:00-16:15 (공371호),3,3
ME351-01,재료과학,김두호,월 12:00-13:15 (공B104호),수 12:00-13:15 (공B104호),3,3
